43401,660524
82095,1349067
82096,1349314
64377,1055083
82122,1349199
117650,398179
447,23008
93444,1620026
25021,343560
33723,480601
25022,297222
33724,480601
25022,343337
82097,1349067
82097,1349130
82097,1349201
32395,477977
105789,1713769
33741,503596
34863,503596
5874,60849
33740,503596
64447,1060166
447,23298
105789,1713757
82096,1349067
82096,1349433
82096,1349128
33738,503596
82096,1349129
33733,503596
447,23115
33739,503596
105861,1716557
82096,1348983
82096,1349431
56618,951860
447,23199
414,23006
414,23197
32904,477968
414,23007
105861,1716559
414,23670
33760,669406
107821,1890737
27337,296791
422,23094
82098,1349067
5874,60856
82099,1349435
82173,1349435
438,23100
27337,296790
438,23101
33761,495394
27361,303283
27361,302721
25116,303395
64447,1060172
64495,1060172
5874,63720
43407,706904
74882,1257690
64588,1061649
75022,1257578
87532,1463910
64591,1061649
43435,668899
64589,1061649
82107,1349397
82124,1349285
87585,1463886
25131,304262
87591,1463890
25156,308398
25156,308279
82246,1349077
82261,1349440
82117,1349268
570,33368
87610,1465368
73632,1129822
73632,1257300
5874,61463
82252,1349473
82120,1349316
74451,1255894
64745,1064087
74451,1068465
73632,1255894
105888,1716569
56618,951917
82271,1349052
74451,1257300
73634,1257291
82131,1349495
582,33932
576,33932
578,34049
579,33823
5874,63700
581,33823
602,33511
113182,2089469
105912,1716556
105916,1716556
56618,951936
51029,882770
113283,2089056
56618,951935
105917,1716556
113288,2089056
624,52807
56618,952039
5874,59706
113349,2089899
113352,2090015
51068,882702
73646,1129822
51069,882702
73646,1257300
105925,1716556
51274,883030
82131,1349468
640,49618
51255,883051
105918,1716556
51264,882973
105915,1716556
45575,668748
8436,106888
5874,60302
8438,108338
8438,106485
105929,1716556
8479,107808
8484,84811
8485,84827
8533,108754
51270,883159
51279,883159
51270,887700
51279,887700
8566,108781
51296,882427
105953,1714145
5874,60308
105949,1714145
105950,1714145
105951,1714145
105952,1714145
2603,48781
56618,951980
648,49414
648,50167
105998,1713945
648,49619
648,49233
113400,2090839
125453,2258209
5874,63134
2612,48781
87616,1467979
87654,1471000
87651,1471301
641,48781
82174,1349095
82141,1349158
33807,508825
33808,508820
82141,1349466
73677,1248804
82141,1349157
33808,508812
2652,48781
125453,2258345
113453,2090725
82141,1349392
82141,1349017
51324,882329
56618,951892
87634,1471020
33825,489607
64905,1049063
33828,489039
82141,1349226
87643,1444295
82141,1349020
87653,1471328
33841,489309
82141,1349127
33835,489309
82141,1349016
105998,1713953
82141,1349279
106034,1714435
64859,1049063
82174,1349158
82174,1349466
82174,1349157
74907,1263126
106039,1714432
106069,1714466
106038,1714454
82174,1349392
82174,1349017
107823,1890737
82174,1349226
87653,1470945
87653,1471015
106044,309095
64904,1049063
82174,1349020
87653,1471144
82174,1349016
82174,1349279
82141,1348996
82174,1348996
34942,496237
82141,1349126
82201,1349215
87653,1471321
87653,1471082
82155,1349256
82144,1349396
82144,1349028
82144,1349256
82247,1349344
52402,882463
117681,2160897
118443,2160961
51325,882329
51329,882329
82237,1349476
642,48781
56618,951979
87653,1471018
5874,60872
82152,1349313
82153,1349313
33881,505201
34870,505201
82161,1349288
82165,1349091
82165,1349155
33884,493936
33884,494436
82180,1349183
82203,1349187
82262,1349187
82193,1349366
33888,494436
33887,493974
33894,494579
82236,1349307
82236,1349247
82205,1349058
117701,2170788
82207,1349053
43440,668748
106050,1714461
73767,1245730
43440,669406
117701,2170921
118540,2171338
43435,669284
118540,2170832
43435,668688
117719,2171338
5874,63694
117719,2170832
73759,1245948
33979,491554
73819,1244957
106054,1714445
43435,668748
45759,668748
45525,787513
45526,787513
33995,500407
43446,653473
73913,1259680
73961,1256611
43447,741510
43458,743162
51527,881396
106072,1714445
106048,1714495
106048,1714461
106072,1714484
125453,2258397
87648,1471263
56618,952167
87649,1470999
87649,1471195
87649,1471194
43459,689491
43463,653770
87648,1471193
117719,2170924
8607,99044
87648,1471373
87648,1471309
87648,1471069
118540,2171436
8607,98944
117719,2171436
51543,881523
125453,2258510
87648,1471308
51703,887455
117701,2171338
87648,1471372
51572,887668
87648,1471063
87646,1471135
87655,1471067
8607,98845
87647,1471277
43474,679795
117701,2170832
87647,1471120
