108225,1964467
447,23199
414,23006
414,23197
414,23296
414,23007
27361,303283
108259,2034857
5874,60308
108259,2034858
125453,2258209
5874,63134
114209,2095122
9699,110405
9699,109665
9699,109916
9719,155170
125453,2257782
125453,2258083
125453,2257792
125453,2258443
91654,1580594
125453,2258188
125453,2258344
91682,1556420
91682,1557423
125453,2258307
125453,2257936
125453,2258032
60787,1020427
60787,1020569
120243,2189988
25505,351270
52468,896705
106133,1716377
25580,361479
25580,361511
91936,1506277
27813,311401
45605,686767
701,50531
125614,2259129
125614,2258801
91936,1508666
80132,1336312
125614,2259040
10007,131367
106546,1821457
52481,900685
106546,1820810
10007,131352
86431,1435765
86431,1435764
74077,1247801
91970,1569722
52487,899961
91970,1567561
5875,60022
741,33200
5875,61180
25851,6716
91970,1567550
112401,1816235
91970,1568114
5875,60624
43660,821369
5875,61254
43660,819889
5875,62914
5875,60087
5875,62877
95250,1627825
34581,507001
74151,1247202
74151,1247272
125117,2222305
92116,1605433
43733,787557
33111,429867
34658,500105
120283,2176145
13233,165361
5875,72132
33111,432796
33111,430875
33111,433346
13233,165046
32946,433250
13233,165251
32946,431789
32946,429861
16810,157314
120339,2189200
16810,157327
95402,1642545
5875,72348
5875,71892
13233,165376
13233,165057
26085,347520
13233,165429
120358,2190933
13233,165155
43840,750779
80437,1350334
13233,165428
13233,165273
13233,165375
5875,71649
53603,897407
52572,895597
26478,351980
5945,60748
34797,511233
34737,486612
95517,1651929
95517,1652841
95517,1652220
34786,514461
34786,514626
34786,514674
34786,514724
95517,1652221
95517,1653711
13233,165181
92563,1543754
6075,69454
95521,1653859
95521,1653563
74901,1247827
74901,1248358
74901,1247831
74901,1247999
52575,895778
52577,895823
52580,895566
66290,1047610
66290,1047626
13233,165092
43840,751027
13233,165093
13233,165045
13233,165304
13233,165369
1143,2835
98920,1652845
13233,165265
35007,509544
98920,1652223
10548,136191
13233,165047
35051,503418
75057,1270896
13233,165156
66463,1060900
75154,1271385
95587,1645525
95587,1644791
95587,1644612
75154,1271379
75154,1271407
75154,1271380
13233,165425
95690,1651529
13233,165424
66601,1198930
13233,165106
45491,724468
45491,723433
13233,165261
107112,1742178
32994,451351
32994,453440
32994,453918
32994,452405
120704,2215902
13233,165314
120709,2215582
32994,452947
13233,165260
13233,165104
13233,165423
13233,165168
13233,165174
7321,118340
7321,117026
7321,115739
33111,431375
13233,165167
75642,1275937
7321,117463
7321,118785
33111,430369
33111,429871
33111,429905
52655,902840
33111,430448
33111,430828
33111,430422
33111,431436
33111,431435
33111,429928
33111,433360
107174,1915964
33111,429926
33111,431926
107174,1913653
33111,430831
33111,432411
33111,433359
33111,430421
33111,432410
33111,430420
80977,1347428
1507,6416
80982,1347272
33111,431398
33111,430419
33111,432941
33111,432937
33111,431397
120820,2228407
33111,429920
33111,432409
33111,431923
120820,2228462
33111,429922
33111,432940
33111,431340
33111,432935
33111,430413
120820,2228825
33111,431922
33111,431339
33111,430418
33111,433355
33111,431392
33111,429921
33111,433354
33111,431925
33111,431921
120820,2228826
33111,432405
33111,432934
114622,2106593
33111,431396
33111,432408
88902,1463231
33111,432939
88902,1462868
66673,1181131
33111,429919
88902,1463105
33111,431391
88902,1463233
66673,1181076
33111,431395
33111,432938
33111,431291
120820,2228707
76628,1289696
76628,1288861
76733,1289832
107178,1914228
107178,1915979
76802,1285140
107178,1916622
107178,1916623
117077,2141664
114757,2144589
114757,2144797
107178,1913720
114757,2143769
36024,534093
108813,2057277
62092,995292
71848,1085549
71848,1085209
76112,1287070
76104,1287624
44589,761838
44589,760631
76111,1287012
107184,1913967
107184,1914502
93389,1575486
2076,30379
66888,1124388
2076,31240
107188,1921579
2076,31105
2076,31603
2076,30762
13233,165386
114968,2154470
76806,1286979
62088,994909
62088,996588
44693,811090
13233,165283
13233,165185
44693,811903
10582,137088
2187,38090
33408,483779
33408,484918
76869,1317632
76869,1317095
44693,811370
13233,165133
76869,1316006
76869,1309376
93389,1578166
62270,1038314
62270,1037237
63687,1038379
63687,1037938
77019,1328080
77019,1327499
77019,1329791
62280,1037844
108934,1990843
117020,2116902
39828,520555
115824,2120988
115824,2120363
10582,135270
82110,1349395
